% # columns="iteration, evaluation, void, void, void, xmean", seed=42, Thu Jan 23 15:50:47 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 8 0 0 0 1.0467498839633125 1.7442337443746352 -0.03286987338009587 -1.9878660743259633
2 16 0 0 0 1.0537172489813595 1.7411730590195162 -0.02812492934439608 -1.9895320606920246
3 24 0 0 0 1.0640433997024845 1.7499065217830536 -0.02809536118454513 -1.9929035571972447
4 32 0 0 0 1.0679669429154737 1.7500593166051552 -0.026876924577386756 -1.9969012414471754
5 40 0 0 0 1.0752968316730298 1.7519913944569958 -0.028000427443366168 -2.0000089571490136
6 48 0 0 0 1.0723020995505657 1.7409705560719393 -0.027694073596261876 -1.9954858024896662
7 56 0 0 0 1.066155527534146 1.7352520063759298 -0.03357117362987776 -1.9882430008899699
8 64 0 0 0 1.0633724564427565 1.7329282485436999 -0.030236754308458503 -1.9839396083872252
9 72 0 0 0 1.0642537389718059 1.7371679009518008 -0.021320987027446704 -1.996846209416039
10 80 0 0 0 1.0594468117073361 1.7371448062097083 -0.016062260404801115 -2.000767591210631
11 88 0 0 0 1.0541214266825591 1.7259437963676723 -0.01872372874022797 -1.9968033944452732
12 96 0 0 0 1.056223222688384 1.7271480293096662 -0.016274459068861026 -1.9976323379614336
13 104 0 0 0 1.0556101873031716 1.7232614670897044 -0.011287568372520424 -1.9973489151259813
14 112 0 0 0 1.056756905431185 1.7335211881417716 -0.013507981799576331 -2.00443123800046
15 120 0 0 0 1.0502630736582066 1.7328471821426257 -0.01274895091691048 -2.0034796448576295
16 128 0 0 0 1.047007309203866 1.7315147777113997 -0.013880107681508982 -2.002234835493957
16 128 0 0 0 1.047007309203866 1.7315147777113997 -0.013880107681508982 -2.002234835493957
