% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=42, Thu Jan 23 15:50:47 2025
1 8 -0.1935614909088868 -0.14883676032146942 0.03336216143400683 0.0680641896090471 0.8503439295820691 0.9954291172937365 1.0271811424449666 1.109475089613188
2 16 -0.3105454757091376 -0.21218748612161561 0.029252757917825827 0.07804817296731359 0.8503439295820691 0.9954291172937365 1.0271811424449666 1.109475089613188
3 24 -0.24984079246234006 -0.1932961736736869 0.004163541157678608 0.3306640945262728 0.8503439295820691 0.9954291172937365 1.0271811424449666 1.109475089613188
4 32 -0.2844696656778778 -0.24897675241979694 0.09916295902880916 0.49390013195795557 0.8503439295820691 0.9954291172937365 1.0271811424449666 1.109475089613188
5 40 -0.3595276820299159 -0.33508330891495625 0.0934360752355989 0.4704292242034389 0.6749290427764215 0.8016907461061793 1.088767730337933 1.3100944867449091
6 48 -0.33017931091892655 -0.32201442131218394 0.02167933307185349 0.35083238440947784 0.6749290427764215 0.8016907461061793 1.088767730337933 1.3100944867449091
7 56 -0.5232318461368968 -0.3534335482215805 0.15105889163924663 0.39020770432917046 0.6749290427764215 0.8016907461061793 1.088767730337933 1.3100944867449091
8 64 -0.4706397182869407 -0.4275276862499441 0.08645247649190815 0.44787668168274936 0.6749290427764215 0.8016907461061793 1.088767730337933 1.3100944867449091
9 72 -0.6468212712096233 -0.36299648521117256 0.06734431906493127 0.44830808424751983 0.5242237268317416 0.7444354437590496 1.0902060120065322 1.407997232130347
10 80 -0.6255549627842347 -0.3723762054027054 0.05420989638674513 0.39839871533119586 0.5242237268317416 0.7444354437590496 1.0902060120065322 1.407997232130347
11 88 -0.6327223817214301 -0.3551041995146005 -0.002126898016687482 0.4933280811529102 0.5242237268317416 0.7444354437590496 1.0902060120065322 1.407997232130347
12 96 -0.5569952772397364 -0.37408787554620004 -0.10458409662797982 0.5193442057000356 0.5242237268317416 0.7444354437590496 1.0902060120065322 1.407997232130347
13 104 -0.5282853495138861 -0.527284241531118 -0.011495095779223134 0.4699213076368487 0.4830781496534644 0.7181005804352429 1.1328108293845203 1.4027496863429008
14 112 -0.52177096917989 -0.4952842224378727 -0.0008153724124822232 0.5221485908112903 0.4830781496534644 0.7181005804352429 1.1328108293845203 1.4027496863429008
15 120 -0.5966822197027729 -0.4898161168098713 -0.00785005510273771 0.48637396725826987 0.4830781496534644 0.7181005804352429 1.1328108293845203 1.4027496863429008
16 128 -0.6793195762767095 -0.45347657916842526 0.025122167012344793 0.49553738433001043 0.4830781496534644 0.7181005804352429 1.1328108293845203 1.4027496863429008
16 128 -0.6793195762767095 -0.45347657916842526 0.025122167012344793 0.49553738433001043 0.4830781496534644 0.7181005804352429 1.1328108293845203 1.4027496863429008
